timestamp,phase,flighttime,lat,lon,alt,pressure,temperature,voltage
2024-08-20T10:07:48+09:00,1,427,0.00,40.2423,140.0103,2.60,1014.74,33.50,5.6
2024-08-20T10:07:49+09:00,1,428,0.00,40.2423,140.0103,2.60,1014.74,33.50,5.6
2024-08-20T10:07:50+09:00,1,429,0.00,40.2423,140.0103,2.60,1014.77,33.50,5.6
2024-08-20T10:07:51+09:00,1,430,0.00,40.2423,140.0103,2.60,1014.73,33.50,5.6
2024-08-20T10:07:52+09:00,1,431,0.00,40.2423,140.0103,2.60,1014.73,33.50,5.6
2024-08-20T10:07:53+09:00,1,432,0.00,40.2423,140.0103,2.60,1014.71,33.50,5.6
2024-08-20T10:07:54+09:00,1,433,0.00,40.2423,140.0103,2.60,1014.71,33.50,5.6
2024-08-20T10:07:55+09:00,1,434,0.00,40.2423,140.0103,2.60,1014.76,33.50,5.6
2024-08-20T10:07:56+09:00,1,435,0.00,40.2423,140.0103,2.60,1014.77,33.50,5.6
2024-08-20T10:07:57+09:00,1,436,0.00,40.2423,140.0103,2.60,1014.68,33.50,5.6
2024-08-20T10:07:58+09:00,1,437,0.00,40.2423,140.0103,2.60,1014.72,33.50,5.6
2024-08-20T10:07:59+09:00,1,438,0.00,40.2423,140.0103,2.60,1014.75,33.50,5.6
2024-08-20T10:08:00+09:00,1,439,0.00,40.2423,140.0103,2.60,1014.73,33.50,5.6
2024-08-20T10:08:01+09:00,1,440,0.00,40.2423,140.0103,2.60,1014.73,33.50,5.6
2024-08-20T10:08:02+09:00,1,441,0.00,40.2423,140.0103,2.60,1014.72,33.50,5.6
2024-08-20T10:08:03+09:00,1,442,0.00,40.2423,140.0103,2.60,1014.73,33.50,5.6
2024-08-20T10:08:04+09:00,1,443,0.00,40.2423,140.0103,2.60,1014.72,33.50,5.6
2024-08-20T10:08:05+09:00,1,444,0.00,40.2423,140.0103,2.60,1014.73,33.50,5.6
2024-08-20T10:08:06+09:00,1,445,0.00,40.2423,140.0103,2.60,1014.73,33.50,5.6
2024-08-20T10:08:07+09:00,1,446,0.00,40.2423,140.0103,2.60,1014.80,33.50,5.6
2024-08-20T10:08:08+09:00,1,447,0.00,40.2423,140.0103,2.60,1014.74,33.50,5.6
2024-08-20T10:08:09+09:00,1,448,0.00,40.2423,140.0103,2.60,1014.69,33.50,5.6
2024-08-20T10:08:10+09:00,1,449,0.00,40.2423,140.0103,2.60,1014.74,33.50,5.6
2024-08-20T10:08:11+09:00,1,450,0.00,40.2423,140.0103,2.50,1014.76,33.50,5.6
2024-08-20T10:08:12+09:00,1,451,0.00,40.2423,140.0103,2.50,1014.72,33.50,5.6
2024-08-20T10:08:13+09:00,1,452,0.00,40.2423,140.0103,2.50,1014.74,33.50,5.6
2024-08-20T10:08:14+09:00,1,453,0.00,40.2423,140.0103,2.50,1014.74,33.50,5.6
2024-08-20T10:08:15+09:00,1,454,0.00,40.2423,140.0103,2.50,1014.71,33.50,5.6
2024-08-20T10:08:16+09:00,1,455,0.00,40.2423,140.0103,2.50,1014.73,33.50,5.6
2024-08-20T10:08:17+09:00,1,456,0.00,40.2423,140.0103,2.50,1014.73,33.50,5.6
2024-08-20T10:08:18+09:00,1,457,0.00,40.2423,140.0103,2.50,1014.71,33.50,5.6
2024-08-20T10:08:19+09:00,1,458,0.00,40.2423,140.0103,2.50,1014.73,33.50,5.6
2024-08-20T10:08:20+09:00,1,459,0.00,40.2423,140.0103,2.50,1014.72,33.50,5.6
2024-08-20T10:08:21+09:00,1,460,0.00,40.2423,140.0103,2.50,1014.75,33.50,5.6
2024-08-20T10:08:22+09:00,1,461,0.00,40.2423,140.0103,2.50,1014.75,33.50,5.6
2024-08-20T10:08:23+09:00,1,462,0.00,40.2423,140.0103,2.50,1014.74,33.50,5.6
